USER_ID,VARIANT_NAME, REVENUE 
737,variant,0.00
2423,control,0.00
9411,control,0.00
7311,control,0.00
6174,variant,0.00
2380,variant,0.00
2849,control,0.00
9168,control,0.00
6205,variant,0.00
7548,control,0.00
8395,control,0.00
1184,control,0.00
7165,control,0.00
2529,variant,42036.00
3489,variant,0.00
8406,variant,0.00
7549,variant,0.00
9085,variant,0.00
4572,variant,0.00
8927,variant,0.00
3383,variant,0.00
6588,variant,0.00
6226,variant,0.00
425,variant,0.00
4772,variant,0.00
598,variant,0.00
3614,variant,0.00
2667,control,0.00
3153,control,0.00
7951,control,0.00
7257,control,0.00
3610,control,0.00
7296,control,0.00
5599,variant,0.00
8281,variant,0.00
2653,control,0.00
3336,control,0.00
8275,control,0.00
6025,variant,0.00
5171,control,0.00
4303,control,0.00
7539,control,0.00
2073,control,0.00
8796,control,0.00
8971,variant,0.00
4064,control,0.00
3354,control,0.00
5142,control,0.00
1145,variant,0.00
6429,control,45717.00
9234,variant,0.00
8976,variant,0.00
7928,control,0.00
1544,variant,0.00
8467,variant,0.00
767,control,0.00
7704,control,0.00
459,variant,0.00
9711,control,0.00
4470,control,0.00
6752,variant,0.00
7931,variant,0.00
7042,variant,0.00
6266,control,0.00
1488,variant,0.00
8586,variant,0.00
5346,control,0.00
4677,variant,0.00
6491,control,0.00
6137,variant,0.00
1271,control,0.00
1851,control,0.00
107,variant,0.00
4719,control,0.00
5930,variant,0.00
6042,control,0.00
9623,variant,0.00
940,variant,0.00
5834,variant,0.00
4940,variant,0.00
4647,variant,0.00
8311,variant,0.00
7092,variant,0.00
5882,variant,0.00
3001,control,0.00
4386,control,0.00
7709,variant,0.00
3438,variant,0.00
1411,control,0.00
2659,variant,0.00
7857,control,0.00
4775,control,0.00
6027,variant,0.00
1380,variant,0.00
4865,control,0.00
7514,variant,0.00
9822,variant,0.00
4907,control,0.00
4094,variant,0.00
1731,control,0.00
6750,control,0.00
7335,variant,0.00
1449,control,0.00
8735,control,0.00
2460,control,0.00
6130,variant,0.00
7704,control,0.00
1577,variant,0.00
9663,control,0.00
6945,variant,0.00
6207,control,0.00
3709,control,0.00
2954,variant,0.00
2594,variant,0.00
5242,variant,0.00
5173,variant,0.00
4471,variant,0.00
3838,control,0.00
1967,variant,0.00
492,variant,0.00
510,variant,0.00
5015,control,0.00
9224,control,0.00
8599,control,0.00
2488,variant,0.00
4409,control,0.00
8379,variant,0.00
2392,variant,0.00
431,control,0.00
6654,control,0.00
3047,variant,0.00
7605,variant,0.00
6326,control,0.00
3112,variant,0.00
1814,control,0.00
5005,control,0.00
2605,variant,0.00
1921,control,0.00
1374,variant,0.00
3331,variant,46478.00
5290,variant,0.00
1538,control,0.00
7696,variant,0.00
8974,variant,0.00
1753,variant,0.00
8542,variant,0.00
8843,variant,0.00
2673,variant,0.00
4277,variant,0.00
8110,variant,27395.00
4558,control,0.00
7453,control,0.00
8607,control,36192.00
6521,control,0.00
3433,control,0.00
9275,variant,0.00
8002,control,0.00
5718,variant,0.00
7466,control,0.00
6122,variant,0.00
2957,variant,0.00
3352,variant,0.00
9429,control,0.00
5129,control,0.00
9933,variant,0.00
1192,control,0.00
2592,control,0.00
4776,control,0.00
3773,variant,0.00
4599,control,0.00
8782,variant,0.00
6928,control,0.00
6846,control,0.00
9010,variant,0.00
1229,variant,0.00
481,variant,0.00
7460,control,0.00
2589,variant,0.00
6729,variant,0.00
8271,control,0.00
4005,variant,0.00
5895,variant,0.00
6678,variant,0.00
8337,control,0.00
1193,control,0.00
8997,variant,0.00
1206,variant,0.00
1740,variant,0.00
603,control,0.00
5051,variant,0.00
1175,variant,0.00
2206,variant,0.00
9465,control,0.00
2102,variant,0.00
6855,control,0.00
8406,variant,0.00
8092,control,0.00
3581,variant,0.00
5108,control,0.00
4482,control,0.00
5040,variant,0.00
1578,variant,0.00
1197,variant,0.00
4714,control,0.00
443,variant,0.00
7088,variant,0.00
4740,variant,0.00
4986,variant,0.00
8469,control,0.00
5506,control,0.00
1495,control,0.00
1611,variant,0.00
9091,variant,0.00
6167,control,0.00
1101,variant,0.00
317,variant,0.00
3101,control,0.00
1718,control,0.00
5395,variant,0.00
9077,variant,0.00
4879,control,0.00
1129,variant,0.00
7924,control,0.00
245,control,0.00
7042,variant,0.00
4801,control,0.00
3679,control,0.00
6663,variant,0.00
6236,variant,0.00
6549,control,0.00
2432,variant,0.00
6044,variant,0.00
6539,variant,0.00
6408,control,0.00
8046,variant,0.00
9836,variant,0.00
9847,variant,0.00
9915,variant,0.00
6262,control,0.00
4463,control,0.00
6393,variant,0.00
396,control,0.00
4091,control,0.00
7773,variant,0.00
6814,variant,0.00
7869,control,0.00
2839,control,0.00
3375,variant,0.00
7855,variant,0.00
3451,variant,0.00
2695,control,0.00
5167,control,0.00
2187,control,0.00
182,control,0.00
8278,variant,0.00
1621,variant,0.00
9889,variant,0.00
9398,control,0.00
7045,control,0.00
1282,control,0.00
8474,control,0.00
3781,variant,0.00
9449,control,0.00
232,control,0.00
4053,control,0.00
2244,variant,0.00
9630,variant,0.00
2923,control,0.00
5147,variant,0.00
5715,variant,0.00
4153,variant,0.00
1780,variant,0.00
369,variant,0.00
1546,variant,0.00
2859,variant,0.00
7495,control,0.00
7948,variant,0.00
2900,control,0.00
6277,control,0.00
6473,control,0.00
7621,control,0.00
191,control,0.00
3910,control,0.00
4064,variant,0.00
3275,variant,0.00
8109,control,0.00
351,variant,0.00
1525,control,0.00
359,variant,0.00
652,control,0.00
9488,control,0.00
7612,variant,0.00
1317,control,0.00
2793,control,0.00
8466,variant,0.00
8507,variant,0.00
9661,variant,0.00
8982,variant,0.00
8132,control,0.00
8993,variant,0.00
2359,variant,0.00
9237,variant,0.00
4409,control,0.00
8491,variant,0.00
531,control,0.00
7196,variant,0.00
3576,variant,0.00
320,variant,0.00
281,control,0.00
6231,variant,0.00
5340,control,0.00
7610,variant,0.00
5205,variant,0.00
6539,control,0.00
2849,variant,0.00
384,control,0.00
1610,variant,0.00
998,control,0.00
1659,control,0.00
4069,control,0.00
1795,variant,0.00
5901,variant,0.00
9143,control,0.00
4021,variant,0.00
1805,variant,0.00
8341,variant,0.00
2579,variant,0.00
5831,control,0.00
7386,variant,0.00
8995,variant,0.00
5356,variant,0.00
3017,variant,0.00
2512,control,0.00
8020,control,33482.00
469,control,0.00
615,variant,0.00
1875,variant,0.00
4639,variant,0.00
4351,variant,0.00
2496,variant,0.00
4268,control,0.00
8992,variant,0.00
4918,control,0.00
1959,variant,0.00
823,variant,0.00
7405,control,0.00
999,control,0.00
8422,variant,0.00
4383,control,0.00
9942,variant,0.00
8669,control,0.00
9152,variant,0.00
6720,variant,0.00
8342,variant,0.00
8492,variant,0.00
4199,variant,0.00
4770,control,0.00
1518,control,0.00
5537,control,0.00
5090,control,0.00
9523,control,0.00
7720,control,0.00
9937,variant,0.00
7805,control,0.00
7806,variant,0.00
4541,control,0.00
1547,variant,0.00
6318,variant,0.00
6783,variant,0.00
5071,variant,0.00
2310,control,0.00
5094,control,0.00
919,variant,0.00
2874,variant,0.00
7144,variant,0.00
1358,variant,0.00
701,control,0.00
8300,control,0.00
8087,variant,0.00
4617,control,0.00
3678,variant,0.00
7910,control,0.00
5503,variant,0.00
2110,control,0.00
1512,variant,0.00
6109,control,0.00
6865,control,0.00
1958,control,0.00
1562,variant,0.00
9357,control,0.00
3284,control,0.00
3741,control,0.00
79,variant,0.00
6023,control,0.00
4835,control,0.00
5377,control,0.00
9824,variant,0.00
6805,control,0.00
4444,control,0.00
9893,control,0.00
6182,variant,0.00
2687,variant,0.00
6292,control,0.00
5856,variant,0.00
4530,control,0.00
8143,control,0.00
1554,variant,0.00
8633,variant,0.00
2322,variant,0.00
3241,control,0.00
9367,variant,0.00
1139,variant,0.00
8695,control,0.00
8151,control,0.00
